Arrays lengths: [20, 40, 80, 160, 320, 640, 1280, 2560, 5120, 10240, 20480]
(20480, '10_percent', 'shell_sort_a102549', 178725)
(20480, '10_percent', 'shell_sort_a033622', 188400)
(20480, '10_percent', 'insertion_sort', 13716277)
(20480, '10_percent', 'insertion_sort_binary', 285592)
(20480, 'shuffled', 'shell_sort_a102549', 274423)
(20480, 'shuffled', 'shell_sort_a033622', 243213)
(20480, 'shuffled', 'insertion_sort', 104869106)
(20480, 'shuffled', 'insertion_sort_binary', 285332)
(20480, '5_shuffled', 'shell_sort_a102549', 19917)
(20480, '5_shuffled', 'shell_sort_a033622', 24652)
(20480, '5_shuffled', 'insertion_sort', 38693)
(20480, '5_shuffled', 'insertion_sort_binary', 279296)
