length	insertion_cnt	a102549_cnt	a033622_cnt
20	17	75	17	17
40	18	184	18	18
80	263	467	130	158
160	786	1096	292	375
320	3568	2495	824	1111
640	12292	5682	2147	2629
1280	53389	12677	5754	6982
2560	223242	27928	13823	16749
5120	882552	61091	33183	37412
10240	3280992	132405	75545	82818
20480	13716277	285592	178725	188400
