length	insertion_cnt	a102549_cnt	a033622_cnt
20	11	3	11
40	15	3	15
80	92	84	46
160	471	211	225
320	92	50	76
640	1290	852	916
1280	2495	1587	1573
2560	1531	913	1355
5120	8562	6574	6260
10240	8108	6202	6159
20480	5347	4129	4145
